Location,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,"NbTotEnregistrements
(nuls ou non)"
Adelaide,0.0,0.06263701847792046,0.09395552771688068,3.194487942373943,46.633260256811774,44.59755715627936,0.8142812402129659,0.8142812402129659,8.581271531475101,0.5010961478233636,0.15659254619480112,0.15659254619480112,0.15659254619480112,0.15659254619480112,0.2505480739116818,0.2192295646727216,100.0,100.0,0.15659254619480112,0.1252740369558409,3.194487942373943,3.225806451612903,3193
Albany,0.0,2.0723684210526314,1.776315789473684,0.7894736842105263,9.539473684210527,17.105263157894736,100.0,100.0,8.125,25.756578947368418,2.0065789473684212,24.111842105263158,1.611842105263158,23.55263157894737,0.8223684210526315,0.8223684210526315,1.25,23.388157894736842,1.2828947368421053,23.42105263157895,0.7894736842105263,0.7894736842105263,3040
Albury,0.0,0.3618421052631579,0.3618421052631579,0.9539473684210527,100.0,100.0,1.0526315789473684,1.0526315789473684,17.269736842105264,1.513157894736842,0.2960526315789474,0.3618421052631579,0.2960526315789474,0.2631578947368421,0.1644736842105263,0.2631578947368421,57.598684210526315,53.059210526315795,0.2960526315789474,0.2631578947368421,0.9539473684210527,0.9539473684210527,3040
AliceSprings,0.0,0.03289473684210526,0.06578947368421052,0.2631578947368421,7.072368421052631,17.105263157894736,1.6776315789473684,1.6776315789473684,7.565789473684211,0.13157894736842105,0.06578947368421052,0.06578947368421052,0.09868421052631579,0.1644736842105263,0.03289473684210526,0.09868421052631579,10.986842105263158,11.875,0.0,0.06578947368421052,0.2631578947368421,0.2960526315789474,3040
BadgerysCreek,0.0,1.1964107676969093,0.9637753406447325,2.6919242273180455,100.0,100.0,2.5257560651379194,2.5257560651379194,14.456630109670987,2.824858757062147,1.6284479893652375,1.5952143569292123,1.794616151545364,1.8278497839813894,5.583250249252243,5.749418411432369,100.0,100.0,1.3625789298770354,1.4622798271851114,2.6919242273180455,2.6919242273180455,3009
Ballarat,0.0,0.03289473684210526,0.03289473684210526,0.39473684210526316,100.0,100.0,1.0197368421052633,1.0197368421052633,2.9934210526315788,0.5921052631578948,0.2631578947368421,0.13157894736842105,0.6907894736842105,0.2302631578947368,0.7894736842105263,0.855263157894737,17.960526315789473,34.473684210526315,0.39473684210526316,0.19736842105263158,0.39473684210526316,0.39473684210526316,3040
Bendigo,0.0,0.06578947368421052,0.1644736842105263,0.19736842105263158,61.01973684210527,100.0,1.348684210526316,1.3157894736842104,8.026315789473685,1.4144736842105263,0.13157894736842105,0.13157894736842105,0.2302631578947368,0.06578947368421052,0.4934210526315789,0.3289473684210526,31.842105263157894,25.394736842105264,0.09868421052631579,0.06578947368421052,0.19736842105263158,0.19736842105263158,3040
Brisbane,0.0,0.281866583150642,0.4384591293454432,1.0021922956467273,0.5950516755402443,1.5346069527090511,1.2840588787973692,1.2840588787973692,2.192295646727216,1.0648293141246477,0.03131850923896023,0.2505480739116818,0.1252740369558409,0.46977763858440336,0.03131850923896023,0.2505480739116818,0.03131850923896023,0.06263701847792046,0.1252740369558409,0.46977763858440336,1.0021922956467273,1.0021922956467273,3193
Cairns,0.0,0.03289473684210526,0.0,1.710526315789474,12.171052631578947,15.657894736842104,0.625,0.5921052631578948,1.4144736842105263,0.13157894736842105,0.03289473684210526,0.03289473684210526,0.03289473684210526,0.0,0.03289473684210526,0.0,6.809210526315789,7.565789473684211,0.03289473684210526,0.0,1.710526315789474,1.710526315789474,3040
Canberra,0.0,0.17462165308498254,0.08731082654249127,0.5238649592549476,46.682188591385334,55.73341094295693,9.866123399301513,9.807916181606519,15.745052386495924,6.635622817229336,6.664726426076833,6.490104772991851,1.8335273573923165,0.3492433061699651,6.577415599534342,6.431897555296858,31.199068684516877,36.75785797438883,0.5238649592549476,0.2037252619324796,0.5238649592549476,0.5238649592549476,3436
Cobar,0.0,0.19940179461615154,0.09970089730807577,0.6979062811565304,11.399135925556664,81.7215021601861,1.3958125623130608,1.3958125623130608,0.897308075772682,0.4985044865403789,0.5649717514124294,0.3988035892323031,4.154204054503157,4.154204054503157,0.9970089730807578,0.8640744433366567,12.628780325689599,10.23595879029578,0.26586905948820205,0.2326354270521768,0.6979062811565304,0.6979062811565304,3009
CoffsHarbour,0.0,0.4985044865403789,0.6314390162844798,1.8610834164174144,40.67796610169492,50.34895314057827,11.930874044533066,11.930874044533066,11.532070455300765,10.069790628115653,9.837155201063476,9.803921568627452,0.6314390162844798,0.7311399135925557,10.335659687603856,10.36889332003988,27.018943170488534,25.85576603522765,0.4985044865403789,0.4652708541043536,1.8610834164174144,1.8610834164174144,3009
Dartmoor,0.0,2.293120638085743,2.0937188434695915,2.226653373213692,13.59255566633433,14.722499169159189,2.293120638085743,2.293120638085743,18.876703223662346,3.256895978730475,2.1934197407776668,2.1269524759056164,7.577268195413758,7.477567298105684,2.1269524759056164,2.160186108341642,100.0,100.0,2.160186108341642,2.1269524759056164,2.226653373213692,2.1934197407776668,3009
Darwin,0.0,0.03131850923896023,0.03131850923896023,0.0,1.6911994989038521,0.1252740369558409,1.4406514249921702,1.3153773880363295,0.8769182586908864,0.09395552771688068,0.06263701847792046,0.06263701847792046,0.03131850923896023,0.06263701847792046,0.03131850923896023,0.06263701847792046,0.03131850923896023,0.09395552771688068,0.0,0.06263701847792046,0.0,0.03131850923896023,3193
GoldCoast,0.0,0.09868421052631579,0.2302631578947368,1.9736842105263157,100.0,100.0,3.9473684210526314,3.9473684210526314,2.138157894736842,1.151315789473684,1.3157894736842104,1.0197368421052633,0.4605263157894736,0.39473684210526316,0.03289473684210526,0.03289473684210526,100.0,100.0,0.03289473684210526,0.03289473684210526,1.9736842105263157,1.9736842105263157,3040
Hobart,0.0,0.0,0.03131850923896023,0.15659254619480112,0.2192295646727216,0.4384591293454432,0.7203257124960851,0.7203257124960851,1.2840588787973692,0.6263701847792045,0.0,0.06263701847792046,0.31318509238960224,0.40714062010648294,0.03131850923896023,0.03131850923896023,36.42342624491074,36.580018791105545,0.03131850923896023,0.06263701847792046,0.15659254619480112,0.15659254619480112,3193
Katherine,0.0,3.1051964512040557,2.5348542458808616,1.1406844106463878,5.893536121673003,100.0,1.837769328263625,1.837769328263625,2.5348542458808616,1.1406844106463878,0.06337135614702154,0.38022813688212925,5.133079847908745,52.97845373891001,0.06337135614702154,0.3168567807351077,2.5982256020278833,45.8808618504436,2.6615969581749046,45.8808618504436,1.1406844106463878,1.2040557667934093,1578
Launceston,0.0,0.19736842105263158,0.19736842105263158,0.39473684210526316,95.36184210526316,100.0,1.118421052631579,1.0855263157894737,15.131578947368421,1.8421052631578945,0.1644736842105263,0.3618421052631579,0.19736842105263158,0.3289473684210526,37.92763157894737,37.92763157894737,76.15131578947368,75.59210526315789,0.19736842105263158,0.3289473684210526,0.39473684210526316,0.39473684210526316,3040
